_id,Calendar Year,Hospital and Health Service (2014),Facility ID,Facility Name,Mothers,Babies
479,1999,Mackay,995,Mackay Base Hospital Birthing Centre,96,96
480,1999,Mater Public Hospitals,3,Mater Mothers',4552,4629
481,1999,Metro North,4,The Prince Charles,1,1
482,1999,Metro North,5,Royal Brisbane,1,1
483,1999,Metro North,9,Royal Women's,3919,4024
484,1999,Metro North,16,Redcliffe,1178,1190
485,1999,Metro North,30,Caboolture,1515,1533
486,1999,Metro North,46,Kilcoy,30,30
487,1999,Metro North,994,RBWH Birthing Centre,294,294
488,1999,Metro South,24,Wynnum,1,1
489,1999,Metro South,25,Marie Rose Centre (Dunwich),4,4
490,1999,Metro South,28,Redland,806,807
491,1999,Metro South,29,Logan,2514,2532
492,1999,Metro South,41,Beaudesert,354,354
493,1999,Metro South,799,Brisbane Women's Offender Health Service,1,1
494,1999,North West,242,Camooweal HC,1,1
495,1999,North West,243,Cloncurry,6,6
496,1999,North West,246,Mount Isa,625,633
497,1999,North West,247,Normanton,3,3
498,1999,North West,249,Mornington Island,1,1
499,1999,North West,252,Doomadgee,1,1
500,1999,Private,99999,na,12106,12332
501,1999,South West,112,Charleville,89,90
502,1999,South West,113,Cunnamulla,19,19
503,1999,South West,116,Mitchell,8,8
504,1999,South West,117,Mungindi,2,2
505,1999,South West,118,Quilpie,1,1
506,1999,South West,119,Roma,160,163
507,1999,South West,120,St George,82,82
508,1999,South West,121,Surat,1,1
509,1999,Sunshine Coast,43,Caloundra,3,3
510,1999,Sunshine Coast,48,Maleny,26,26
511,1999,Sunshine Coast,49,Nambour,1984,2010
512,1999,Sunshine Coast,68,Gympie,346,347
513,1999,Torres and Cape,213,Bamaga,5,5
514,1999,Torres and Cape,216,Cooktown,19,19
515,1999,Torres and Cape,226,Thursday Island,211,211
516,1999,Torres and Cape,228,Weipa,6,6
517,1999,Torres and Cape,230,Aurukun PHC,4,4
518,1999,Torres and Cape,254,Pormpuraaw PHC,1,1
519,1999,Torres and Cape,948,Murray Island PHC,1,1
520,1999,Torres and Cape,949,Saibai Island PHC,2,2
521,1999,Townsville,191,Ayr,161,162
522,1999,Townsville,193,Charters Towers,70,70
523,1999,Townsville,196,Ingham,135,135
524,1999,Townsville,197,Joyce Palmer HS,15,15
525,1999,Townsville,198,Townsville,2,2
526,1999,Townsville,199,Kirwan,1694,1728
527,1999,Townsville,244,Hughenden,6,6
528,1999,Townsville,916,Magnetic Island HSC,1,1
529,1999,Unknown,999,Unknown,1,1
530,1999,West Moreton,15,Ipswich,1717,1744
531,1999,West Moreton,45,Gatton,15,15
532,1999,Wide Bay,61,Biggenden,1,1
533,1999,Wide Bay,62,Bundaberg,840,848
534,1999,Wide Bay,64,Childers,1,1
535,1999,Wide Bay,66,Gayndah,8,8
536,1999,Wide Bay,67,Gin Gin,1,1
537,1999,Wide Bay,69,Hervey Bay,412,418
538,1999,Wide Bay,71,Maryborough,321,324
539,1999,Wide Bay,72,Monto,37,37
540,1999,Wide Bay,74,Mundubbera,16,16
541,2000,BBA,99999,na,79,79
542,2000,Cairns and Hinterland,211,Atherton,278,279
543,2000,Cairns and Hinterland,212,Babinda,9,9
544,2000,Cairns and Hinterland,214,Cairns,1908,1945
545,2000,Cairns and Hinterland,220,Gordonvale,2,2
546,2000,Cairns and Hinterland,222,Innisfail,308,308
547,2000,Cairns and Hinterland,223,Mareeba,184,189
548,2000,Cairns and Hinterland,224,Mossman,81,81
549,2000,Cairns and Hinterland,227,Tully,26,26
550,2000,Cairns and Hinterland,229,Gurriny Yealamucka PHC,6,6
551,2000,Central Queensland,132,Baralaba,1,1
552,2000,Central Queensland,133,Biloela,137,137
553,2000,Central Queensland,134,Blackwater,3,3
554,2000,Central Queensland,135,Emerald,342,344
555,2000,Central Queensland,136,Gladstone,469,470
556,2000,Central Queensland,139,Mount Morgan,3,3
557,2000,Central Queensland,140,Moura,35,35
558,2000,Central Queensland,141,Rockhampton,965,979
559,2000,Central Queensland,142,Springsure,22,22
560,2000,Central Queensland,143,Theodore,19,19
561,2000,Central Queensland,144,Capricorn Coast (Yeppoon),7,7
562,2000,Central Queensland,145,Woorabinda,2,2
563,2000,Central West,152,Barcaldine,24,24
564,2000,Central West,153,Blackall,15,15
565,2000,Central West,156,Longreach,90,93
566,2000,Central West,159,Winton,11,11
567,2000,Darling Downs,63,Cherbourg,4,4
568,2000,Darling Downs,70,Kingaroy,383,384
569,2000,Darling Downs,77,Wondai,41,41
570,2000,Darling Downs,91,Chinchilla,82,82
